,0
1,093
2,078
3,080
4,123
6,095
7,119
8,118
9,143
10,103
13,089
14,091
15,149
17,144
18,124
19,087
20,110
21,128
22,117
23,100
25,084
27,099
28,095
30,090
31,102
32,104
33,099
34,105
35,056
36,125
37,119
39,081
40,097
41,106
42,099
43,107
44,093
46,089
47,105
48,087
49,097
50,109
52,093
54,109
55,044
56,075
57,101
59,089
60,090
62,090
65,093
66,101
67,037
68,113
69,089
70,084
71,102
72,102
73,114
74,130
75,090
76,094
77,097
78,143
79,091
81,107
82,095
83,119
84,093
88,101
89,093
90,140
91,135
92,082
93,070
94,104
96,117
97,121
98,092
99,124
100,164
101,053
102,093
103,091
104,083
105,093
106,114
107,116
109,093
110,081
113,084
114,105
115,086
116,120
117,106
118,092
119,096
120,097
121,099
122,100
123,126
124,096
125,075
126,094
127,129
128,080
129,103
131,096
133,077
135,137
136,148
143,123
144,121
145,095
146,028
147,099
148,104
149,122
150,104
151,094
153,176
154,107
155,090
156,094
157,101
158,087
159,092
160,085
161,093
162,022
163,095
164,086
165,137
166,101
167,068
168,121
169,111
170,110
171,029
172,142
173,168
174,102
175,092
176,086
177,022
178,022
179,021
181,059
182,093
183,086
184,080
185,109
186,092
187,092
189,089
190,096
192,095
193,087
194,093
196,113
200,020
201,117
203,097
204,098
205,108
206,125
207,091
208,076
209,090
210,082
211,111
212,092
214,110
215,094
216,100
217,091
219,094
220,044
221,108
222,130
223,083
224,123
226,106
227,087
228,130
229,100
230,096
231,089
232,095
233,026
234,156
236,098
237,030
238,108
240,092
242,028
243,099
244,085
245,122
246,084
247,057
249,107
250,102
251,103
252,091
253,104
254,091
255,110
257,111
261,077
262,099
263,122
264,150
265,117
266,126
267,148
268,122
269,095
270,133
271,164
272,115
273,154
274,133
275,110
277,127
278,146
279,136
280,100
281,090
282,088
283,131
285,044
286,101
287,123
291,090
292,089
293,087
295,024
296,088
297,133
298,110
299,112
300,129
301,087
302,087
304,120
305,059
307,074
308,096
309,091
310,059
311,105
312,063
313,111
314,096
315,099
316,092
317,086
318,090
320,063
323,106
325,038
326,093
327,087
328,025
329,105
330,094
331,107
332,089
334,092
342,022
343,174
344,060
345,097
346,122
347,091
351,084
352,097
353,127
354,153
355,158
356,151
358,150
361,105
362,109
366,081
368,162
369,104
370,054
371,094
372,083
373,085
374,106
375,060
376,102
377,088
378,051
379,100
381,131
382,109
383,069
384,106
385,115
386,060
387,064
388,110
390,054
391,147
392,112
394,087
395,063
397,088
399,042
400,090
401,089
402,079
403,101
406,102
407,122
408,085
410,083
413,092
414,040
415,084
416,104
417,091
418,109
419,100
420,090
421,090
422,094
423,099
424,090
425,095
427,092
429,103
430,103
431,103
432,045
433,045
435,090
436,106
438,075
439,098
441,112
442,092
443,103
444,104
445,092
446,172
447,125
448,096
450,044
453,081
454,112
455,122
456,101
459,053
461,053
462,110
463,010
464,099
465,095
466,119
467,163
469,055
470,084
472,096
473,102
474,090
476,106
477,072
479,127
480,116
481,128
482,061
483,057
484,080
485,080
486,075
487,075
488,079
489,093
490,129
491,108
492,087
493,071
495,097
496,091
497,083
498,085
499,116
500,130
501,111
502,113
503,097
505,102
506,106
507,160
508,137
509,171
510,171
511,104
512,095
513,090
514,128
517,103
518,121
519,030
520,048
521,139
522,105
524,104
525,162
526,157
527,015
528,106
529,130
530,088
532,146
535,064
536,104
537,127
538,092
541,100
542,072
546,118
547,110
548,065
550,064
551,059
552,122
553,090
554,060
555,134
557,089
560,161
561,086
562,087
563,130
564,107
566,080
567,079
568,062
571,093
572,081
573,087
577,054
579,098
580,113
581,091
582,089
585,063
587,110
588,098
589,125
590,106
591,093
592,139
593,090
594,123
599,168
600,083
601,101
602,094
604,100
605,117
606,133
607,081
608,091
611,104
612,106
613,112
614,122
617,102
618,088
620,099
622,186
623,049
625,094
626,090
627,095
628,097
629,110
631,097
633,073
634,088
635,150
636,097
637,091
638,092
642,111
643,101
644,112
645,073
646,089
647,129
648,058
649,080
650,065
652,099
653,126
654,135
655,127
656,165
657,166
658,166
659,138
660,159
661,160
662,159
663,136
664,112
665,101
666,143
670,127
671,098
673,061
674,095
675,086
678,084
679,111
681,092
682,102
683,097
684,090
687,119
688,147
689,099
691,130
692,087
695,083
696,083
697,105
699,091
700,117
701,117
708,078
709,075
710,078
711,149
712,103
713,108
714,084
715,094
716,095
717,141
718,122
719,134
722,107
727,126
728,122
729,095
730,088
732,101
733,074
734,064
737,074
738,074
739,083
741,072
742,079
743,072
744,080
745,075
746,075
747,072
748,109
749,132
751,110
752,099
753,144
754,091
755,105
756,166
757,103
758,128
762,118
763,087
764,077
765,098
767,094
770,125
771,029
772,102
773,121
774,116
775,110
776,088
780,052
781,089
782,052
785,137
787,051
789,110
790,092
792,119
794,081
795,073
796,075
798,099
799,089
801,121
